sat,target,time,az,el,R,sat_x,sat_y,sat_z,FoR
GEO-1,1,560.0,2.26169053989085,0.33543306978207316,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,560.0,2.9835980766107486,-0.482291550384397,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,570.0,2.262574474168663,0.33599832845677635,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,570.0,2.979309827821811,-0.48499899426184095,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,580.0,2.26112045530279,0.33622132123166015,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,580.0,2.975317963091083,-0.4825911289008289,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,590.0,2.260983549851819,0.3375764259661348,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,590.0,2.9747431256970005,-0.4784506713124098,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,600.0,2.2591080629842377,0.3367362694367247,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,600.0,2.970824816204325,-0.477908022791289,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
