time_s,satellite,target_id,true_az_rad,true_el_rad,meas_az_rad,meas_el_rad,kf_az_rad,kf_el_rad,kf_az_rate_rad_s,kf_el_rate_rad_s,kf_az_acc_rad_s2,kf_el_acc_rad_s2,innov_az_rad,innov_el_rad,kf_var_az,kf_var_el
280.0,GEO-1,2,2.2960094835379787,0.3103211775110109,2.2956319289758107,0.3105950624119251,2.2956319289758107,0.3105950624119251,-0.0004270991089891929,7.819163336885703e-05,0.0,0.0,0.0,0.0,2.4991386561492843e-07,2.4991386561492843e-07
280.0,GEO-2,2,3.0419138308515294,-0.5262905143501628,3.0429992028442023,-0.5275265894942183,3.0429992028442023,-0.5275265894942183,-0.00046896641730382883,-5.0574343451570414e-05,0.0,0.0,0.0,0.0,2.4991386561492843e-07,2.4991386561492843e-07
280.0,GEO-3,2,2.886950105501801,-0.13254776833335274,2.8884010014768617,-0.13133577499104054,2.8884010014768617,-0.13133577499104054,-0.00010430773992671227,0.00038989878213464,0.0,0.0,0.0,0.0,2.4991386561492843e-07,2.4991386561492843e-07
290.0,GEO-1,1,2.2982074110451864,0.3126933433790947,2.2991903369084983,0.3124924112181777,2.2991903369084983,0.3124924112181777,-0.00020777179740871787,0.00010233288972855137,0.0,0.0,0.0,0.0,2.499138642561282e-07,2.499138642561282e-07
290.0,GEO-2,1,3.0444667897047073,-0.5240253145556182,3.0447689307444503,-0.5251425537965204,3.0447689307444503,-0.5251425537965204,-0.00030845406746418116,-4.510503576835578e-05,0.0,0.0,0.0,0.0,2.499138642561282e-07,2.499138642561282e-07
290.0,GEO-3,1,2.8893083081959934,-0.13027402046578995,2.8893662623698284,-0.1308613999872294,2.8893662623698284,-0.1308613999872294,-0.00037307249019953305,-2.844657652497362e-05,0.0,0.0,0.0,0.0,2.499138642561282e-07,2.499138642561282e-07
290.0,GEO-1,2,2.2929003099577296,0.31083664033818564,2.292986873923072,0.3103420140753847,2.292986873923072,0.3103420140753847,-0.00026450550527385986,-2.530483365403846e-05,0.0,0.0,0.0,0.0,2.499138642561282e-07,2.499138642561282e-07
290.0,GEO-2,2,3.038016466186272,-0.5257180794843449,3.038300269698191,-0.52453874730801,3.038300269698191,-0.52453874730801,-0.00046989331460114416,0.0002987842186208289,0.0,0.0,0.0,0.0,2.499138642561282e-07,2.499138642561282e-07
290.0,GEO-3,2,2.883406013213091,-0.1314651640030653,2.8820964100291766,-0.1305397731275414,2.8820964100291766,-0.1305397731275414,-0.0006304591447685137,7.960018634991516e-05,0.0,0.0,0.0,0.0,2.499138642561282e-07,2.499138642561282e-07
300.0,GEO-1,1,2.296331177270688,0.3138381385730341,2.29433936470117,0.3116771052225069,2.29433936470117,0.3116771052225069,-0.0004850972207328219,-8.153059956708119e-05,0.0,0.0,0.0,0.0,2.4991386327227835e-07,2.4991386327227835e-07
300.0,GEO-2,1,3.042076016635921,-0.5228719057221424,3.0419566479595224,-0.5228651763405033,3.0419566479595224,-0.5228651763405033,-0.0002812282784927955,0.00022773774560170824,0.0,0.0,0.0,0.0,2.4991386327227835e-07,2.4991386327227835e-07
300.0,GEO-3,1,2.8871408133218766,-0.1286982986951951,2.8875836141755227,-0.13034568396536256,2.8875836141755227,-0.13034568396536256,-0.0001782648194305736,5.157160218668411e-05,0.0,0.0,0.0,0.0,2.4991386327227835e-07,2.4991386327227835e-07
300.0,GEO-1,2,2.289849953299965,0.31132336333586846,2.28979001465722,0.3114498880330961,2.28979001465722,0.3114498880330961,-0.00031968592658522256,0.00011078739577113916,0.0,0.0,0.0,0.0,2.4991386327227835e-07,2.4991386327227835e-07
300.0,GEO-2,2,3.034092801519967,-0.5250956072006387,3.0353480065031384,-0.5251994467861454,3.0353480065031384,-0.5251994467861454,-0.0002952263195052485,-6.60699478135407e-05,0.0,0.0,0.0,0.0,2.4991386327227835e-07,2.4991386327227835e-07
300.0,GEO-3,2,2.8798567699636513,-0.13036990303429857,2.880385761711973,-0.1313473285846271,2.880385761711973,-0.1313473285846271,-0.0001710648317203578,-8.075554570857179e-05,0.0,0.0,0.0,0.0,2.4991386327227835e-07,2.4991386327227835e-07
310.0,GEO-1,1,2.2944886603352113,0.3149621958730659,2.2943011057014115,0.31451666055192745,2.2943011057014115,0.31451666055192745,-3.825899975851143e-06,0.000283955532942054,0.0,0.0,0.0,0.0,2.499138625598937e-07,2.499138625598937e-07
