time_s,satellite,target_id,meas_az_rad,meas_el_rad,true_az_rad,true_el_rad,meas_sigma_rad,sat_x_km,sat_y_km,sat_z_km
310.0,GEO-3,1,2.884136804783054,-0.1265406812994366,2.8849711272401835,-0.12711666946798358,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
310.0,GEO-1,2,2.2886504590231787,0.31216436725149144,2.286861022361022,0.31178166392096196,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
310.0,GEO-2,2,3.030450497819786,-0.5247691865206614,3.0301469375263577,-0.5244230441270734,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
310.0,GEO-3,2,2.877394428079815,-0.12872270586650197,2.87630600285092,-0.1292626228231588,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
320.0,GEO-1,1,2.29441432337147,0.31639595988923336,2.292681130652109,0.31606524837888844,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
320.0,GEO-2,1,3.0363063221408377,-0.5210478591184667,3.0372549990586157,-0.5204779176176441,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
320.0,GEO-3,1,2.88181355611361,-0.12678075617624296,2.8828009606666956,-0.12552993528333262,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
320.0,GEO-1,2,2.285199727938913,0.3130192349676012,2.283936010512382,0.312211898059503,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
320.0,GEO-2,2,3.024944378903962,-0.5219191048828802,3.0261830232797715,-0.5237004255657705,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
320.0,GEO-3,2,2.8730019012319867,-0.12910087641974557,2.8727573405058204,-0.1281439844311452,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
330.0,GEO-1,1,2.291296037117023,0.3170778579518501,2.2909098151755836,0.317147052207205,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
330.0,GEO-2,1,3.034055976969825,-0.5211811063466408,3.034828631723981,-0.5192381720542182,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
330.0,GEO-3,1,2.8806687435959826,-0.12364691111502785,2.880632023691558,-0.12393890696292925,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
330.0,GEO-1,2,2.278498215500852,0.313169365449039,2.281077292881385,0.3126144581198757,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
330.0,GEO-2,2,3.0228228801372063,-0.5233976721308763,3.022205246821933,-0.5229278765234756,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
330.0,GEO-3,2,2.8693265282936307,-0.12729532937506502,2.869214405238719,-0.12701467121277607,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
340.0,GEO-1,1,2.288338793735776,0.31784733111024027,2.2891758963016793,0.31820738609072935,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
